Transaction Number, Hmnsu, Description, Payment Mode, Operation Type, Date, Formated Logical, csn, confirmed, processDate, value, receivedValue, voucherValue, atm, station, line, operation
56000000000000000890, undefined, undefined,Voucher,sale,08/03/2023 22:16:50,1,1,true,08/03/2023 22:16:53,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
56000000000000000891, undefined, undefined,Voucher,sale,08/03/2023 22:17:35,1,1,true,08/03/2023 22:17:35,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
56000000000000000892, undefined, undefined,Voucher,sale,08/03/2023 22:18:26,1,1,true,08/03/2023 22:18:27,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
56000000000000000893, undefined, undefined,Dinheiro,sale,08/03/2023 22:21:50,1,1,true,08/03/2023 22:21:51,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
56000000000000000894, undefined, undefined,Debito,sale,17/03/2023 21:05:42,1,1,true,17/03/2023 21:05:49,11218509.36,11218509.36,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
62000000000000000895, undefined, Comum dinheiro,Debito,sale,18/03/2023 13:58:24,269848261,269848261,true,18/03/2023 13:58:30,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
62000000000000000896, undefined, Comum dinheiro,Debito,sale,21/03/2023 13:20:45,271717247,271717247,true,21/03/2023 13:20:51,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
56000000000000000897, undefined, undefined,Dinheiro,sale,21/03/2023 13:21:42,ddee4fdb016da17c,ddee4fdb016da17c,true,21/03/2023 13:21:43,10,10,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
62000000000000000898, undefined, Comum dinheiro,Dinheiro,sale,21/03/2023 13:25:23,271720838,271720838,true,21/03/2023 13:25:24,10,10,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
56000000000000000899, undefined, undefined,Dinheiro,sale,29/03/2023 15:27:12,2525065,2525065,true,29/03/2023 15:27:19,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
56000000000000000900, undefined, undefined,Dinheiro,sale,29/03/2023 15:31:12,4e2f6326c6b651d9,4e2f6326c6b651d9,true,29/03/2023 15:31:13,10,10,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
56000000000000000901, undefined, undefined,Dinheiro,sale,29/03/2023 15:35:45,2525068,2525068,true,29/03/2023 15:35:46,20,20,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
62000000000000000902, undefined, Comum dinheiro,Dinheiro,sale,29/03/2023 15:41:03,277720892,277720892,true,29/03/2023 15:41:10,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
56000000000000000903, undefined, undefined,Dinheiro,sale,29/03/2023 17:15:15,91b2a75e4873385f,91b2a75e4873385f,true,29/03/2023 17:15:22,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
16700000000000000904, undefined, QRCODE DESCONHECIDO,Debito,sale,29/03/2023 19:52:50,2525070,2525070,true,29/03/2023 19:52:59,4.4,4.4,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
